Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Effects of (R)-ketamine on reduced bone mineral density in ovariectomized mice: A role of gut microbiota.
              
            ","Wan X, Eguchi A, Fujita Y, Ma L, Wang X, Yang Y, Qu Y, Chang L, Zhang J, Mori C, Hashimoto K.",Neuropharmacology. 2022 Aug 1;213:109139. doi: 10.1016/j.neuropharm.2022.109139. Epub 2022 May 17.,35594949,"
              We reported that the novel antidepressant (R)-ketamine could ameliorate the reduced BMD in the ovariectomized (OVX) mice which is an animal model of postmenopausal osteoporosis. Given the role of gut microbiota in depression and bone homeostasis, we examined whether …
            "
"
              
                The Potential Impact of Age on Gut Microbiota in Patients with Major Depressive Disorder: A Secondary Analysis of the Prospective Observational Study.
              
            ","Miyaho K, Sanada K, Kurokawa S, Tanaka A, Tachibana T, Ishii C, Noda Y, Nakajima S, Fukuda S, Mimura M, Kishimoto T, Iwanami A.",J Pers Med. 2022 Nov 3;12(11):1827. doi: 10.3390/jpm12111827.,36579574,"
              We aimed to investigate the impact of aging on the relationship among the composition of gut microbiota, gastrointestinal (GI) symptoms, and the course of treatment for major depressive disorder (MDD) by analyzing the datasets from our previous study. ...The …
            "
"
              
                Corylin ameliorates chronic ulcerative colitis via regulating the gut-brain axis and promoting 5-hydroxytryptophan production in the colon.
              
            ","Wang ZJ, Chen LH, Xu J, Xu QX, Xu W, Yang XW.",Phytomedicine. 2023 Feb;110:154651. doi: 10.1016/j.phymed.2023.154651. Epub 2023 Jan 5.,36634380,"
              BACKGROUND: Chronic ulcerative colitis (UC) is a lifelong disease, patients with chronic UC have a high prevalence of common mental disorders. The increasing interest in the role of gut-brain axis is seen in inflammatory bowel diseases. ...The interaction between co …
            "
"
              
                The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health.
              
            ","Malecki KMC, Nikodemova M, Schultz AA, LeCaire TJ, Bersch AJ, Cadmus-Bertram L, Engelman CD, Hagen E, McCulley L, Palta M, Rodriguez A, Sethi AK, Walsh MC, Nieto FJ, Peppard PE.",Front Public Health. 2022 Mar 31;10:818777. doi: 10.3389/fpubh.2022.818777. eCollection 2022.,35433595,"
              Over 60 studies have been published covering a broad range of topics including, urban and rural disparities in cardio-metabolic disease and cancer, objective physical activity, sleep, green-space and mental health, transcriptomics, the gut microbiome, …
            "
"
              
                Metagenomic Analysis Reveals Difference of Gut Microbiota in ADHD.
              
            ","Wang N, Wang H, Bai Y, Zhao Y, Zheng X, Gao X, Zhang Z, Yang L.",J Atten Disord. 2024 Mar;28(5):872-879. doi: 10.1177/10870547231225491. Epub 2024 Feb 7.,38327077,"
              OBJECTIVE: Although ADHD is highly heritable, some environmental factors contribute to its development. Given the growing evidence that gut microbiota was involved in psychiatric disorders, we aimed to identify the characteristic composition of the gut mic …
            "
"
              
                Early-life stress and the gut microbiome: A comprehensive population-based investigation.
              
            ","Mulder RH, Kraaij R, Schuurmans IK, Frances-Cuesta C, Sanz Y, Medina-Gomez C, Duijts L, Rivadeneira F, Tiemeier H, Jaddoe VWV, Felix JF, Cecil CAM.",Brain Behav Immun. 2024 May;118:117-127. doi: 10.1016/j.bbi.2024.02.024. Epub 2024 Feb 23.,38402916,"
              Early-life stress (ELS) has been robustly associated with a range of poor mental and physical health outcomes. Recent studies implicate the gut microbiome in stress-related mental, cardio-metabolic and immune health problems, but research …
            "
"
              
                Fermented Carrot Pulp Regulates the Dysfunction of Murine Intestinal Microbiota.
              
            ","Yu C, Liu Y, Xuemei Z, Ma A, Jianxin T, Yiling T.",Oxid Med Cell Longev. 2022 Mar 16;2022:2479956. doi: 10.1155/2022/2479956. eCollection 2022.,35340216,"
              The malondialdehyde (MDA) levels showed great differences between the fermentation-treated groups and the blank group. At last, the 16sRNA analysis revealed that the microbiota richness and diversity in probiotic fermentation (J) are much higher than those in the mo …
            "
"
              
                Gut Microbiome: A Potential Indicator for Differential Diagnosis of Major Depressive Disorder and General Anxiety Disorder.
              
            ","Dong Z, Shen X, Hao Y, Li J, Li H, Xu H, Yin L, Kuang W.",Front Psychiatry. 2021 Sep 13;12:651536. doi: 10.3389/fpsyt.2021.651536. eCollection 2021.,34589003,"
              Background: Major depressive disorder (MDD) and general anxiety disorder (GAD) share many common features, leading to numerous challenges in their differential diagnosis. Given the importance of the microbiota-gut-brain axis, we investigated the differences in gu …
            "
"
              
                Metagenomic analysis of intestinal microbiota in wild rats living in urban and rural habitats.
              
            ","Gurbanov R, Kabaoğlu U, Yağcı T.",Folia Microbiol (Praha). 2022 Jun;67(3):469-477. doi: 10.1007/s12223-022-00951-y. Epub 2022 Jan 31.,35102501,"
              The development of the gut microbiota is regulated by a complex interaction between host and environmental factors, including diet and lifestyle. Herein, it is aimed to elucidate the differences in the gut microbiota of rats living in urban and rural h …
            "
"
              
                Analysis of the diversity of intestinal microbiome and its potential value as a biomarker in patients with schizophrenia: A cohort study.
              
            ","Pan R, Zhang X, Gao J, Yi W, Wei Q, Su H.",Psychiatry Res. 2020 Sep;291:113260. doi: 10.1016/j.psychres.2020.113260. Epub 2020 Jun 27.,32763534,"
              Exploring the gut microbiota characteristics of patients with acute and remission schizophrenia (SCZ) and evaluating the potential of the gut microbiome as a non-invasive biomarker for SCZ. ...There were differences between SCZ patients and HCs, acute …
            "
"
              
                The gut microbiome and regional fat distribution: Findings from the Baltimore Longitudinal Study of Aging.
              
            ","Tilves C, Tanaka T, Differding MK, Spira AP, Chia CW, Ferrucci L, Mueller NT.",Obesity (Silver Spring). 2023 May;31(5):1425-1435. doi: 10.1002/oby.23717. Epub 2023 Apr 4.,37016727,"
              OBJECTIVE: The aim of this study was to examine associations of gut microbiome diversity and composition with directly measured regional fat distribution, including central fat, in a large community-based cohort. ...Multivariable-adjusted associations of regi …
            "
"
              
                Metformin acts on the gut-brain axis to ameliorate antipsychotic-induced metabolic dysfunction.
              
            ","Wang X, Huang H, Zhu Y, Li S, Zhang P, Jiang J, Xi C, Wu L, Gao X, Fu Y, Zhang D, Chen Y, Hu S, Lai J.",Biosci Trends. 2021 Nov 21;15(5):321-329. doi: 10.5582/bst.2021.01317. Epub 2021 Sep 30.,34588398,"
              Although the exact mechanisms for developing AIMD is intricate, emerging evidence has indicated the involvement of the microbiota-gut-brain axis in AIMD. SGAs treatment may change the diversity and compositions of intestinal flora (e.g., decreased abundance o …
            "
"
              
                Fermented Vegetables as a Potential Treatment for Irritable Bowel Syndrome.
              
            ",Garnås E.,Curr Dev Nutr. 2023 Feb 18;7(3):100039. doi: 10.1016/j.cdnut.2023.100039. eCollection 2023 Mar.,37181929,"
              Foods and supplements containing microorganisms with expected beneficial effects are increasingly investigated and utilized in the treatment of human illness, including irritable bowel syndrome (IBS). Research points to a prominent role of gut dysbiosis in the multiple abe …
            "
"
              
                Alteration of faecal microbiota balance related to long-term deep meditation.
              
            ","Sun Y, Ju P, Xue T, Ali U, Cui D, Chen J.",Gen Psychiatr. 2023 Jan 3;36(1):e100893. doi: 10.1136/gpsych-2022-100893. eCollection 2023.,36760344,"
              BACKGROUND: Advancements in research have confirmed that gut microbiota can influence health through the microbiota-gut-brain axis. ...CONCLUSIONS: Long-term traditional Tibetan Buddhist meditation may positively impact physical and mental …
            "
"
              
                Gut microbiome and brain functional connectivity in infants-a preliminary study focusing on the amygdala.
              
            ","Gao W, Salzwedel AP, Carlson AL, Xia K, Azcarate-Peril MA, Styner MA, Thompson AL, Geng X, Goldman BD, Gilmore JH, Knickmeyer RC.",Psychopharmacology (Berl). 2019 May;236(5):1641-1651. doi: 10.1007/s00213-018-5161-8. Epub 2019 Jan 2.,30604186,"
              Recently, there has been a surge of interest in the possibility that microbial communities inhabiting the human gut could affect cognitive development and increase risk for mental illness via the ""microbiome-gut-brain axis."" ...Primary analyses focused …
            "
"
              
                Health-related quality of life is associated with fecal microbial composition in breast cancer survivors.
              
            ","Smith KS, Tissier A, Bail JR, Novak JR, Morrow CD, Demark-Wahnefried W, Frugé AD.",Support Care Cancer. 2022 Dec 13;31(1):10. doi: 10.1007/s00520-022-07496-3.,36512109,"
              PURPOSE: To investigate relationships between body size, gut microbiome, and health-related quality of life (QOL) in breast cancer survivors (BCS) in a clinical trial. ...Mediation analysis explored the relationship between BMI and SF-36 mental heal …
            "
"
              
                Regulation of neurotoxicity in the striatum and colon of MPTP-induced Parkinson's disease mice by gut microbiome.
              
            ","Shan J, Qu Y, Wang S, Wei Y, Chang L, Ma L, Hashimoto K.",Brain Res Bull. 2021 Dec;177:103-110. doi: 10.1016/j.brainresbull.2021.09.009. Epub 2021 Sep 22.,34560239,"
              Increasing evidence suggests the role of gut-microbiota-brain axis in the pathogenesis of Parkinson's disease (PD). ...There was a negative correlation between the expression of TH in the striatum and the expression of p-alpha-Syn in the colon, suggesting a role of …
            "
"
              
                Editorial: The Promise of Psychiatric Translational Research: Exploring How the Gut Can Influence Brain Development.
              
            ",Szigethy E.,J Am Acad Child Adolesc Psychiatry. 2019 Nov;58(11):1059-1061. doi: 10.1016/j.jaac.2019.05.021. Epub 2019 Jun 3.,31170444,"
              In animal studies, GI infections have been linked to enteric inflammation, disrupted intestinal permeability, and changes in diversity in the gut microbiome as well as brain dysfunction.(1) In humans, infectious gastroenteritis has been associated with modifi …
            "
"
              
                Impact of a hexafluoropropylene oxide trimer acid (HFPO-TA) exposure on impairing the gut microbiota in mice.
              
            ","Hu L, Sun L, Zhou J, Wu F, Fu Z, Xie X.",Chemosphere. 2022 Sep;303(Pt 1):134951. doi: 10.1016/j.chemosphere.2022.134951. Epub 2022 May 13.,35577126,"
              HFPO-TA is reported to have high capability of bioaccumulation, widespread environmental distribution, and multiple toxicities. However, its potential toxicity on the intestines and gut microbiota remains unknown. In the present study, male mice were orally exposed …
            "
"
              
                Salivary microbiome profiling reveals a dysbiotic schizophrenia-associated microbiota.
              
            ","Qing Y, Xu L, Cui G, Sun L, Hu X, Yang X, Jiang J, Zhang J, Zhang T, Wang T, He L, Wang J, Wan C.",NPJ Schizophr. 2021 Oct 28;7(1):51. doi: 10.1038/s41537-021-00180-1.,34711862,"
              The etiology and pathogenesis of schizophrenia remain unclear. Despite the human gut microbiome being associated with schizophrenia, the role of the oral microbiome, which is a vital player in the mouth-body connection, is not well understood. ...The salivary …
            "
"
              
                Obese-type gut microbiota induce neurobehavioral changes in the absence of obesity.
              
            ","Bruce-Keller AJ, Salbaum JM, Luo M, Blanchard E 4th, Taylor CM, Welsh DA, Berthoud HR.",Biol Psychiatry. 2015 Apr 1;77(7):607-15. doi: 10.1016/j.biopsych.2014.07.012. Epub 2014 Jul 18.,25173628,"
              Here, we test the hypothesis that obesity-associated changes in gut microbiota are intrinsically able to impair neurocognitive behavior in mice. ...CONCLUSIONS: Collectively, these data reinforce the link between gut dysbiosis and neurologic dysfunction and s …
            "
"
              
                Guardians of Rest? Investigating the gut microbiota in central hypersomnolence disorders.
              
            ","Jezkova J, Sonka K, Kreisinger J, Prochazkova P, Tlaskalova-Hogenova H, Nevsimalova S, Buskova J, Merkova R, Dvorakova T, Prihodova I, Dostalova S, Roubalova R.",Sleep Med. 2024 Jan;113:95-102. doi: 10.1016/j.sleep.2023.11.024. Epub 2023 Nov 19.,37995475,"
              The gut microbiota can also influence circadian rhythms. In this study, we observed the gut microbiota composition of patients suffering from narcolepsy type 1, narcolepsy type 2, and idiopathic hypersomnia. We did not observe any changes in the alpha …
            "
"
              
                Associations of the Gut Microbiome With Treatment Resistance in Schizophrenia.
              
            ","Vasileva SS, Yang Y, Baker A, Siskind D, Gratten J, Eyles D.",JAMA Psychiatry. 2024 Mar 1;81(3):292-302. doi: 10.1001/jamapsychiatry.2023.5371.,38294805,"
              IMPORTANCE: There is growing interest in the role of gut microbiome composition in schizophrenia. However, lifestyle factors are often neglected, and few studies have investigated microbiome composition in treatment-resistant schizophrenia. ...CONCLUSIONS AND …
            "
"
              
                Antibiotic-induced microbiome depletion improves LPS-induced acute lung injury via gut-lung axis.
              
            ","Hashimoto Y, Eguchi A, Wei Y, Shinno-Hashimoto H, Fujita Y, Ishima T, Chang L, Mori C, Suzuki T, Hashimoto K.",Life Sci. 2022 Oct 15;307:120885. doi: 10.1016/j.lfs.2022.120885. Epub 2022 Aug 16.,35981631,"
              Furthermore, ABX and/or LPS treatment markedly altered the alpha- and beta-diversity of the gut microbiota. There were significant differences in the alpha- and beta-diversity of the water + LPS group and ABX + LPS group. ...SIGNIFICANCE: These data su …
            "
"
              
                A systematic review of studies on the faecal microbiota in anorexia nervosa: future research may need to include microbiota from the small intestine.
              
            ","Schwensen HF, Kan C, Treasure J, Høiby N, Sjögren M.",Eat Weight Disord. 2018 Aug;23(4):399-418. doi: 10.1007/s40519-018-0499-9. Epub 2018 Mar 14.,29542066,"
              PURPOSE: Anorexia nervosa (AN) is a poorly understood and often chronic condition. Deviations in the gut microbiota have been reported to influence the gut-brain axis in other disorders. ...CONCLUSION: There are currently only a few studies on the gut …
            "
"
              
                Effects of Vancomycin and Ciprofloxacin on the NMRI Mouse Metabolism.
              
            ","Liu Z, Xia B, Saric J, Utzinger J, Holmes E, Keiser J, Li JV.",J Proteome Res. 2018 Oct 5;17(10):3565-3573. doi: 10.1021/acs.jproteome.8b00583. Epub 2018 Sep 20.,30183313,"
              The reduction in gut microbiota diversity is associated with a range of human diseases. Overuse of antibiotics has been associated with a diminished gut-microbial diversity in humans and may promote microbiota-associated negative effects …
            "
"
              
                Altered Fecal Microbiota Correlated With Systemic Inflammation in Male Subjects With Methamphetamine Use Disorder.
              
            ","Deng D, Su H, Song Y, Chen T, Sun Q, Jiang H, Zhao M.",Front Cell Infect Microbiol. 2021 Nov 18;11:783917. doi: 10.3389/fcimb.2021.783917. eCollection 2021.,34869080,"
              Previous studies have reported methamphetamine-associated alterations in gut microbiota. A potential role of gut microbiota in regulating methamphetamine-induced brain dysfunction through interactions with the host immune system has been proposed, but …
            "
"
              
                Alteration of the gut microbiome in first-episode drug-naive and chronic medicated schizophrenia correlate with regional brain volumes.
              
            ","Ma X, Asif H, Dai L, He Y, Zheng W, Wang D, Ren H, Tang J, Li C, Jin K, Li Z, Chen X.",J Psychiatr Res. 2020 Apr;123:136-144. doi: 10.1016/j.jpsychires.2020.02.005. Epub 2020 Feb 8.,32065949,"
              However, the connection between the gut microbiome and the underlying pathogenesis of schizophrenia (SCZ) is poorly defined. ...Our findings extend prior work and suggest a possible link between the gut microbiome and brain structure which may be impli …
            "
"
              
                Isha yoga practices, vegan diet, and participation in Samyama meditation retreat: impact on the gut microbiome & metabolome - a non-randomized trial.
              
            ","Raman M, Vishnubhotla R, Ramay HR, Gonçalves MCB, Shin AS, Pawale D, Subramaniam B, Sadhasivam S.",BMC Complement Med Ther. 2023 Apr 5;23(1):107. doi: 10.1186/s12906-023-03935-8.,37020274,"
              BACKGROUND: Growing evidence suggests a role for gut bacteria and their metabolites in host-signaling responses along the gut-brain axis which may impact mental health. ...Metabolomics were performed on a mass spectrometer coupled to a UHLPC system and …
            "
"
              
                Military-Related Exposures, Social Determinants of Health, and Dysbiosis: The United States-Veteran Microbiome Project (US-VMP).
              
            ","Brenner LA, Hoisington AJ, Stearns-Yoder KA, Stamper CE, Heinze JD, Postolache TT, Hadidi DA, Hoffmire CA, Stanislawski MA, Lowry CA.",Front Cell Infect Microbiol. 2018 Nov 19;8:400. doi: 10.3389/fcimb.2018.00400. eCollection 2018.,30510919,"
              Significant effort has been put forth to increase understanding regarding the role of the human microbiome in health- and disease-related processes. In turn, the United States (US) Veteran Microbiome Project (US-VMP) was conceptualized as a means by which to …
            "
"
              
                Effects of the multidomain intervention with nutritional supplements on cognition and gut microbiome in early symptomatic Alzheimer's disease: a randomized controlled trial.
              
            ","Lee EH, Kim GH, Park HK, Kang HJ, Park YK, Lee HA, Hong CH, Moon SY, Kang W, Oh HS, Yoon HJ, Choi SH, Jeong JH.",Front Aging Neurosci. 2023 Nov 2;15:1266955. doi: 10.3389/fnagi.2023.1266955. eCollection 2023.,38020771,"
              After intervention, beta diversity of the gut microbiome between group A and the control group increased, and patients in group A were more enriched with Bifidobacterium. CONCLUSION: SUPERBRAIN-based multidomain intervention with nutritional supplements impro …
            "
"
              
                Effects of molecular hydrogen intervention on the gut microbiome in methamphetamine abusers with mental disorder.
              
            ","Wang Y, Wang M, Xie B, Wen D, Li W, Zhou M, Wang X, Lu Y, Cong B, Ni Z, Ma C.",Brain Res Bull. 2023 Feb;193:47-58. doi: 10.1016/j.brainresbull.2022.12.003. Epub 2022 Dec 11.,36516898,"
              Methamphetamine (METH) is a potent and highly addictive psychostimulant and one of the most widely used illicit drugs, the abuse of which has become a severe public health problem worldwide. A growing amount of evidence has indicated potential connections between gut …
            "
"
              
                The Impact of Early-Life Cecal Microbiota Transplantation on Social Stress and Injurious Behaviors in Egg-Laying Chickens.
              
            ","Fu Y, Hu J, Zhang H, Erasmus MA, Johnson TA, Cheng HW.",Microorganisms. 2024 Feb 26;12(3):471. doi: 10.3390/microorganisms12030471.,38543522,"
              This article reports the outcomes from a multi-year study on the modification of gut microbiota composition to reduce injurious behaviors in egg-laying chickens. An important discovery of this corpus of experiments is that injurious behaviors in chickens can be redu …
            "
"
              
                Overview and systematic review of studies of microbiome in schizophrenia and bipolar disorder.
              
            ","Nguyen TT, Kosciolek T, Eyler LT, Knight R, Jeste DV.",J Psychiatr Res. 2018 Apr;99:50-61. doi: 10.1016/j.jpsychires.2018.01.013. Epub 2018 Jan 31.,29407287,"
              The advent of sophisticated sequencing techniques has led to a growing interest in the potential role of gut microbiota in human health and disease. Advances in this area have transformed our understanding of a number of medical conditions and have generated …
            "
"
              
                Isoalantolactone relieves depression-like behaviors in mice after chronic social defeat stress via the gut-brain axis.
              
            ","Wang S, Cai Q, Xu L, Sun Y, Wang M, Wang Y, Zhang L, Li K, Ni Z.",Psychopharmacology (Berl). 2023 Aug;240(8):1775-1787. doi: 10.1007/s00213-023-06413-8. Epub 2023 Jul 3.,37400661,"
              LAT showed robust anti-inflammatory activity and can lessen the increase in IL-6 and TNF-alpha caused by CSDS. CSDS altered the gut microbiota at the taxonomic level, resulting in significant changes in alpha- and beta-diversity. LAT treatment reestablished t …
            "
"
              
                Role of the gut-brain axis via the subdiaphragmatic vagus nerve in stress resilience of 3,4-methylenedioxymethamphetamine in mice exposed to chronic restrain stress.
              
            ","Qu Y, Eguchi A, Ma L, Wan X, Mori C, Hashimoto K.",Neurobiol Dis. 2023 Dec;189:106348. doi: 10.1016/j.nbd.2023.106348. Epub 2023 Nov 11.,37956855,"
              Nevertheless, recent observational studies demonstrated that lifetime MDMA use among U.S. adults was associated with a lower risk of depression and suicide thoughts. We recently reported that the gut-brain axis may contribute to MDMA-induced stress resilience in mice. ...I …
            "
"
              
                Variations in the oral microbiome are associated with depression in young adults.
              
            ","Wingfield B, Lapsley C, McDowell A, Miliotis G, McLafferty M, O'Neill SM, Coleman S, McGinnity TM, Bjourson AJ, Murray EK.",Sci Rep. 2021 Jul 22;11(1):15009. doi: 10.1038/s41598-021-94498-6.,34294835,"
              A growing body of evidence supports an important role for alterations in the brain-gut-microbiome axis in the aetiology of depression and other psychiatric disorders. The potential role of the oral microbiome in mental health has received little …
            "
"
              
                Targeting the Infant Gut Microbiota Through a Perinatal Educational Dietary Intervention: Protocol for a Randomized Controlled Trial.
              
            ","Dawson SL, Craig JM, Clarke G, Mohebbi M, Dawson P, Tang ML, Jacka FN.",JMIR Res Protoc. 2019 Oct 21;8(10):e14771. doi: 10.2196/14771.,31638593,"
              BACKGROUND: The early life gut microbiota are an important regulator of the biological pathways contributing toward the pathogenesis of noncommunicable disease. It is unclear whether improvements to perinatal diet quality could alter the infant gut microbi …
            "
"
              
                Gastric microbiota composition in patients with corpus atrophic gastritis.
              
            ","Conti L, Borro M, Milani C, Simmaco M, Esposito G, Canali G, Pilozzi E, Ventura M, Annibale B, Lahner E.",Dig Liver Dis. 2021 Dec;53(12):1580-1587. doi: 10.1016/j.dld.2021.05.005. Epub 2021 Jun 8.,34116969,"
              Genomic DNA from one antral and one corpus biopsy from each case (n = 23) and control (n = 32) was extracted. Gastric microbiota was assessed by sequencing hypervariable regions of the 16SrRNA gene. RESULTS: Bacterial abundance and diversity were significantly lower …
            "
"
              
                Identification of intestinal and fecal microbial biomarkers using a porcine social stress model.
              
            ","Nguyen TQ, Martínez-Álvaro M, Lima J, Auffret MD, Rutherford KMD, Simm G, Dewhurst RJ, Baima ET, Roehe R.",Front Microbiol. 2023 Nov 9;14:1197371. doi: 10.3389/fmicb.2023.1197371. eCollection 2023.,38029169,"
              In particular, the study of the stress impact on the gastrointestinal microbiota of pigs may be of interest as a model for human health. ...We also revealed that some pigs were more susceptible to pathogens as indicated by large enrichments of opportunistic p …
            "
"
              
                Naturally-diverse airborne environmental microbial exposures modulate the gut microbiome and may provide anxiolytic benefits in mice.
              
            ","Liddicoat C, Sydnor H, Cando-Dumancela C, Dresken R, Liu J, Gellie NJC, Mills JG, Young JM, Weyrich LS, Hutchinson MR, Weinstein P, Breed MF.",Sci Total Environ. 2020 Jan 20;701:134684. doi: 10.1016/j.scitotenv.2019.134684. Epub 2019 Oct 28.,31704402,"
              Growing epidemiological evidence links natural green space exposure with a range of health benefits, including for mental health. Conversely, greater urbanisation associates with increased risk of mental health disorders. ...Our results point to …
            "
"
              
                [Variations in fecal microbiota of first episode schizophrenia associated with clinical assessment and serum metabolomics].
              
            ","Wang XP, Zhang YY, Lu TL, Lu Z, Kang ZW, Sun YY, Yue WH.",Beijing Da Xue Xue Bao Yi Xue Ban. 2022 Oct 18;54(5):863-873. doi: 10.19723/j.issn.1671-167X.2022.05.014.,36241229,"
              OBJECTIVE: To explore the role of the microbiota in drug naive first-onset schizophrenia patients and to seek evidence from multidimensional longitudinal analyses of the intestinal microbiome and clinical phenotype with antipsychotic drugs (APDs) therapy. ...The 16S …
            "
"
              
                Gut microbiome composition is associated with temperament during early childhood.
              
            ","Christian LM, Galley JD, Hade EM, Schoppe-Sullivan S, Kamp Dush C, Bailey MT.",Brain Behav Immun. 2015 Mar;45:118-27. doi: 10.1016/j.bbi.2014.10.018. Epub 2014 Nov 10.,25449582,"
              BACKGROUND: Understanding the dynamics of the gut-brain axis has clinical implications for physical and mental health conditions, including obesity and anxiety. ...CONCLUSIONS: Differences in gut microbiome composition, including alpha divers …
            "
"
              
                Development of a 3D-Printed High Temperature Resin Cecal Fistula Implant for Long-Term and Minimally Invasive Access to the Gut Microbiome.
              
            ","Minaya DM, Weinstein NL, Czaja K.",Nutrients. 2021 Dec 17;13(12):4515. doi: 10.3390/nu13124515.,34960067,"
              Microbiota dysbiosis has been associated with chronic diseases ranging from gastrointestinal inflammatory and metabolic conditions to neurological changes affecting the gut-brain neural axis, mental health, and general well-being. However, curre …
            "
"
              
                Role of Actinobacteria and Coriobacteriia in the antidepressant effects of ketamine in an inflammation model of depression.
              
            ","Huang N, Hua D, Zhan G, Li S, Zhu B, Jiang R, Yang L, Bi J, Xu H, Hashimoto K, Luo A, Yang C.",Pharmacol Biochem Behav. 2019 Jan;176:93-100. doi: 10.1016/j.pbb.2018.12.001. Epub 2018 Dec 5.,30528936,"
              Ketamine, an N-methyl-d-aspartic acid receptor (NMDAR) antagonist, elicits rapid-acting and sustained antidepressant effects in treatment-resistant depressed patients. Accumulating evidence suggests that gut microbiota via the gut-brain axis play a role in th …
            "
"
              
                Irradiation of the head reduces adult hippocampal neurogenesis and impairs spatial memory, but leaves overall health intact in rats.
              
            ","Lensu S, Waselius T, Mäkinen E, Kettunen H, Virtanen A, Tiirola M, Penttonen M, Pekkala S, Nokia MS.",Eur J Neurosci. 2021 Mar;53(6):1885-1904. doi: 10.1111/ejn.15102. Epub 2021 Jan 19.,33382141,"
              We found no effect of irradiation on systemic inflammation, weight gain or gut microbiota diversity, although it increased the abundance of Bacteroidaceae family, namely Bacteroides genus in the gut microbiota. ...To summarize, our results sugge …
            "
"
              
                Lycium barbarum polysaccharide attenuates emotional injury of offspring elicited by prenatal chronic stress in rats via regulation of gut microbiota.
              
            ","Zhao F, Guan S, Fu Y, Wang K, Liu Z, Ng TB.",Biomed Pharmacother. 2021 Nov;143:112087. doi: 10.1016/j.biopha.2021.112087. Epub 2021 Aug 31.,34474339,"
              Stress during pregnancy is not only detrimental to a woman's own physical and mental health, but can also cause changes in the intrauterine environment and even have an impact on later growth and development, this study was designed to understand the changes of g …
            "
"
              
                Possible association of Firmicutes in the gut microbiota of patients with major depressive disorder.
              
            ","Huang Y, Shi X, Li Z, Shen Y, Shi X, Wang L, Li G, Yuan Y, Wang J, Zhang Y, Zhao L, Zhang M, Kang Y, Liang Y.",Neuropsychiatr Dis Treat. 2018 Dec 3;14:3329-3337. doi: 10.2147/NDT.S188340. eCollection 2018.,30584306,"
              BACKGROUND: Gut microbiota can affect human behavior and mood in many ways. ...CONCLUSION: This study found that there is a significant disorder of gut microbiota in the patients with depression, in which the Firmicutes decreased significantly. ...
            "
"
              
                The Microbiome in Posttraumatic Stress Disorder and Trauma-Exposed Controls: An Exploratory Study.
              
            ","Hemmings SMJ, Malan-Müller S, van den Heuvel LL, Demmitt BA, Stanislawski MA, Smith DG, Bohr AD, Stamper CE, Hyde ER, Morton JT, Marotz CA, Siebler PH, Braspenning M, Van Criekinge W, Hoisington AJ, Brenner LA, Postolache TT, McQueen MB, Krauter KS, Knight R, Seedat S, Lowry CA.",Psychosom Med. 2017 Oct;79(8):936-946. doi: 10.1097/PSY.0000000000000512.,28700459,"
              OBJECTIVE: Inadequate immunoregulation and elevated inflammation may be risk factors for posttraumatic stress disorder (PTSD), and microbial inputs are important determinants of immunoregulation; however, the association between the gut microbiota and PTSD is unknow …
            "
"
              
                Association of homelessness and diet on the gut microbiome: a United States-Veteran Microbiome Project (US-VMP) study.
              
            ","Hoisington AJ, Stearns-Yoder KA, Stamper CE, Holliday R, Brostow DP, Penzenik ME, Forster JE, Postolache TT, Lowry CA, Brenner LA.",mSystems. 2024 Jan 23;9(1):e0102123. doi: 10.1128/msystems.01021-23. Epub 2023 Dec 22.,38132705,"
              In terms of differences in gut microbiota, beta diversity was significantly different between veterans who had experienced homelessness and veterans who had never been homeless (P = 0.047, weighted UniFrac), while alpha diversity was similar. ...Future …
            "
"
              
                Microbiome restoration diet improves digestion, cognition and physical and emotional wellbeing.
              
            ","Lawrence K, Hyde J.",PLoS One. 2017 Jun 14;12(6):e0179017. doi: 10.1371/journal.pone.0179017. eCollection 2017.,28614379,"
              Manipulating gut bacteria in the microbiome, through the use of probiotics and prebiotics, has been found to have an influence on both physical and emotional wellbeing. This study uses a dietary manipulation 'The Gut Makeover' designed to elicit positive chan …
            "
"
              
                Effect of combined chronic predictable and unpredictable stress on depression-like symptoms in mice.
              
            ","Qiao Y, Zhao J, Li C, Zhang M, Wei L, Zhang X, Kurskaya O, Bi H, Gao T.",Ann Transl Med. 2020 Aug;8(15):942. doi: 10.21037/atm-20-5168.,32953742,"
              BACKGROUND: Mental stress mainly induces depression, and predictable stress, as well as a constant bombardment of chronic unpredictable micro-stressors, always coexist in daily life. ...Compared with single stress, combined stress gave rise to a more significant diversi …
            "
"
              
                Repeated (S)-ketamine administration ameliorates the spatial working memory impairment in mice with chronic pain: role of the gut microbiota-brain axis.
              
            ","Jiang Y, Wang X, Chen J, Zhang Y, Hashimoto K, Yang JJ, Zhou Z.",Gut Microbes. 2024 Jan-Dec;16(1):2310603. doi: 10.1080/19490976.2024.2310603. Epub 2024 Feb 8.,38332676,"
              Additionally, repeated (S)-ketamine treatments improved the abnormal composition of the gut microbiome (beta-diversity), as indicated by fecal 16S rRNA analysis, and increased levels of butyrate, a key gut - brain axis mediator. ...These results indica …
            "
